Depth	Temperature
m	ºC
46.33	15.7595
46.38	15.7603
46.43	15.7626
46.48	15.7655
46.53	15.7674
46.58	15.7685
46.63	15.7701
46.68	15.7709
46.73	15.7719
46.78	15.7725
46.83	15.7726
46.88	15.773
46.93	15.7727
46.98	15.773
47.03	15.774
47.08	15.7744
47.13	15.7752
47.18	15.776
47.23	15.776
47.28	15.776
47.33	15.7755
47.38	15.7769
47.43	15.777
47.48	15.7783
47.53	15.7798
47.58	15.7851
47.63	15.7898
47.68	15.7957
47.73	15.801
47.78	15.8033
47.83	15.8043
47.88	15.8065
47.93	15.8114
47.98	15.8179
48.03	15.8222
48.08	15.8238
48.13	15.8245
48.18	15.8251
48.23	15.8269
48.28	15.8291
48.33	15.8292
48.38	15.8296
48.43	15.8301
48.48	15.8291
48.53	15.8285
48.58	15.8312
48.63	15.837
48.68	15.8407
48.73	15.8449
48.78	15.8473
48.83	15.8489
48.88	15.8514
48.93	15.856
48.98	15.8612
49.03	15.8639
49.08	15.8679
49.13	15.8721
49.18	15.8751
49.23	15.8765
49.28	15.8767
49.33	15.8786
49.38	15.8808
49.43	15.8823
49.48	15.8832
49.53	15.8849
49.58	15.8877
49.63	15.8891
49.68	15.8895
49.73	15.8898
49.78	15.8898
49.83	15.8905
49.88	15.8907
49.93	15.8909
49.98	15.8908
50.03	15.8905
50.08	15.8901
50.13	15.8907
50.18	15.8909
50.23	15.8916
50.28	15.8935
50.33	15.8962
50.38	15.8975
50.43	15.8985
50.48	15.8981
50.53	15.8995
50.58	15.9021
50.63	15.9064
50.68	15.9101
50.73	15.9125
50.78	15.9153
50.83	15.9174
50.88	15.9189
50.93	15.9194
50.98	15.9183
51.03	15.9172
51.08	15.9162
51.13	15.9158
51.18	15.9153
51.23	15.9164
51.28	15.917
51.33	15.9186
51.38	15.9226
51.43	15.9248
51.48	15.9266
51.53	15.9267
51.58	15.9264
51.63	15.9271
51.68	15.9269
51.73	15.9275
51.78	15.9292
51.83	15.9298
51.88	15.9305
51.93	15.934
51.98	15.9375
52.03	15.9405
52.08	15.9434
52.13	15.9473
52.18	15.9502
52.23	15.9527
