Depth	Temperature
m	'C
59.40	20.3098
59.45	20.3088
59.50	20.31
59.55	20.3091
59.60	20.3103
59.65	20.3095
59.70	20.3111
59.75	20.3117
59.80	20.3141
59.85	20.3194
59.90	20.3239
59.95	20.3292
60.00	20.3304
60.05	20.332
60.10	20.3303
60.15	20.3327
60.20	20.3331
60.25	20.3363
60.30	20.3404
60.35	20.3429
60.40	20.3474
60.45	20.3481
60.50	20.3489
60.55	20.3509
60.60	20.3502
60.65	20.3498
60.70	20.3504
60.75	20.3505
60.80	20.3519
60.85	20.3532
60.90	20.356
60.95	20.359
61.00	20.3623
61.05	20.364
61.10	20.3655
61.15	20.3648
61.20	20.3651
61.25	20.3636
61.30	20.3658
61.35	20.3665
61.40	20.3671
61.45	20.3673
61.50	20.3693
61.55	20.3728
61.60	20.3741
61.65	20.3729
61.70	20.3745
61.75	20.3752
61.80	20.3794
61.85	20.3815
61.90	20.3824
61.95	20.3843
62.00	20.3862
62.05	20.3897
62.10	20.3922
62.15	20.3975
62.20	20.4004
62.25	20.4042
62.30	20.4045
62.35	20.4061
62.40	20.4066
62.45	20.4089
62.50	20.4093
62.55	20.4115
62.60	20.4146
62.65	20.4143
62.70	20.4158
62.75	20.4185
62.80	20.4218
62.85	20.4229
62.90	20.4226
62.95	20.4231
63.00	20.4224
63.05	20.4237
63.10	20.4245
63.15	20.4263
63.20	20.4273
63.25	20.4288
63.30	20.4296
63.35	20.43
63.40	20.433
63.45	20.4361
63.50	20.4384
63.55	20.441
63.60	20.4444
63.65	20.4459
63.70	20.4484
63.75	20.4505
63.80	20.4523
63.85	20.4534
63.90	20.4526
63.95	20.453
64.00	20.4537
64.05	20.4563
64.10	20.459
64.15	20.4594
64.20	20.4602
64.25	20.4609
64.30	20.4636
64.35	20.4647
64.40	20.4656
64.45	20.4661
64.50	20.4671
64.55	20.4704
64.60	20.4756
64.65	20.4806
64.70	20.4844
64.75	20.4846
64.80	20.4838
64.85	20.4843
64.90	20.4836
64.95	20.4836
65.00	20.4835
